,precision,recall,f1-score,support
da,0.48304642670839854,0.6869436201780416,0.5672281776416539,1348.0
de,0.9910786699107867,0.9934959349593496,0.9922858302882663,1230.0
en,0.9308084486525856,0.9937791601866252,0.961263632944716,1286.0
sv,0.4728434504792332,0.23035019455252917,0.30978545264259544,1285.0
accuracy,0.7228588075354437,0.7228588075354437,0.7228588075354437,0.7228588075354437
macro avg,0.7194442489377509,0.7261422274691364,0.707640773379308,5149.0
weighted avg,0.7136913664840218,0.7228588075354437,0.7029315388091197,5149.0
