,precision,recall,f1-score,support
da,0.11351819757365685,0.09761549925484352,0.1049679487179487,1342.0
de,0.9991980753809142,0.9968,0.9979975971165399,1250.0
en,0.9398280802292264,0.9977186311787072,0.9679085208410181,1315.0
sv,0.16494082840236687,0.17954911433172302,0.17193523515805706,1242.0
accuracy,0.5655467080986599,0.5655467080986599,0.5655467080986599,0.5655467080986599
macro avg,0.5543712953965411,0.5679208111913184,0.5607023254583909,5149.0
weighted avg,0.5519653233146558,0.5655467080986599,0.5583039911725398,5149.0
